X1, X2, y
-0.48,-0.2,0.38967596161827
0.35,0.84,1.2833843953955
0.24,-0.12,0.060997380334562
0.87,0.83,2.7913891925583
-0.72,0.51,1.4177232910992
0.06,0.01,-0.49036763935172
0.37,-0.3,0.070279375355257
-0.39,0.68,1.2300375396233
-0.15,-0.3,-0.0022200262723583
-0.37,-0.62,-0.51640888069558
-0.87,-0.29,0.69468278436084
0.19,-0.85,-0.71179609151341
0.08,0.21,0.12215369371617
-0.29,0.56,0.82505816681692
0.39,-0.91,-0.66221718630581
-0.47,0.92,1.663486008719
-0.38,-0.27,0.058895237144243
-0.28,-0.51,-0.15823597456082
-0.58,-0.91,-0.32854909665316
-0.19,0.25,0.17792365425001
0.74,0.3,1.3593464758957
0.75,-0.03,1.2886227360206
-0.59,-0.33,0.32469657111196
-0.32,0.54,0.58904755740322
-0.77,0.06,1.3188108768163
0.78,0.69,2.128242449307
-0.47,0.85,1.1118894229584
0.41,0.94,1.4565044572345
-0.27,0.32,0.26750125643031
-0.61,-0.27,0.37449178693086
-0.95,-0.49,1.6804238994181
0.16,0.28,0.35605662431857
-0.75,-0.39,1.0350212902408
-0.96,0.89,2.6403791385729
0.76,-0.71,0.32631111111419
0.43,0.16,0.49394270856718
-0.72,-0.63,0.43332259527994
0.04,0.33,0.57394282386296
-0.49,0.49,0.81881752887321
0.28,-0.23,0.016384627779113
0.92,0.05,1.8126206661789
-0.44,-0.58,-0.0067752256182068
-0.79,-0.85,0.58949169850669
0.92,-0.05,1.8450352154294
-0.48,-0.46,0.32465732245515
0.19,0.83,0.8296873401005
-0.32,0.14,0.15071575677719
0.73,-0.36,0.80344412240276
-0.24,-0.03,-0.25363627132465
-0.42,-0.64,-0.65815255333137
0.09,0.24,0.28806063860715
0.17,0.62,0.59405917078311
0.56,-0.13,0.48522418675612
-0.03,-0.76,-0.59985997982546
-0.39,0.45,0.6014553220166
-0.08,0.51,0.65718284576596
0.29,0.17,0.36433291160349
0.71,0.7,1.7958925685758
0.58,-0.84,-0.17073519623605
-0.61,-0.34,0.1843128154967
0.73,-0.94,0.01780920168868
-0.72,-0.09,0.94418056782471
0.41,0.98,1.5284614038389
-0.99,-0.6,1.2798527918645
-0.31,0.55,0.21689543193243
0.86,0.95,2.4588475408331
-0.83,0.59,1.8599133128915
-0.61,0.04,0.55703216427361
-0.71,0.76,1.6475717369578
0.95,-0.45,1.307135486077
-0.42,-0.3,0.088466371693475
0.94,-0.52,1.4710909668568
0.22,-0.06,0.21675244840139
0.6,-0.27,0.58960536834162
-0.87,-0.69,0.91985225252206
-0.62,0.5,1.1664712092259
